,Client ID,Variation,gendr,clnt_age,start_to_step_1_mins,step_1_to_2_mins,step_2_to_3_mins,step_3_to_con_mins,total_time_mins
11,2304905,Control,U,58.0,0.1,0.55,0.82,2.38,3.85
24,3727881,Control,U,30.5,0.5,0.53,4.42,1.05,6.5
31,272934,Control,U,58.5,0.2,0.97,0.65,2.12,3.93
36,388801,Test,M,57.5,0.83,2.55,3.22,3.22,9.82
41,285619,Control,M,67.5,0.57,1.22,0.98,1.9,4.67
50,8198645,Test,F,54.5,1.95,0.62,6.45,0.68,9.7
55,8368822,Control,U,34.5,0.28,0.12,0.42,1.17,1.98
60,2537139,Control,U,51.5,0.18,0.43,1.02,1.57,3.2
65,2208717,Test,U,33.0,1.6,0.6,3.67,0.57,6.28
103,3788589,Control,M,32.5,0.17,0.4,2.92,7.47,10.95
108,719792,Test,F,31.0,0.12,0.62,0.52,3.08,4.33
114,5904035,Test,U,25.5,0.22,0.27,2.45,0.93,3.87
128,6590646,Test,F,42.5,0.08,0.38,0.85,0.47,1.78
137,3638336,Test,M,30.5,0.3,0.37,1.3,0.9,2.87
143,1508759,Test,U,58.5,0.12,0.73,1.23,2.9,4.98
150,9381346,Control,U,62.5,0.25,1.48,2.65,0.98,5.37
161,7035604,Control,U,30.5,0.13,0.12,0.77,0.5,1.52
197,2109862,Test,U,38.0,0.28,0.47,1.92,0.52,1.72
206,1549737,Control,U,68.5,0.23,0.42,0.48,2.72,3.85
219,6448014,Control,U,57.5,0.23,0.93,0.52,1.1,2.78
225,6651826,Control,U,34.5,0.13,0.72,0.95,0.62,2.42
291,3753796,Control,F,66.5,0.37,1.25,0.45,2.18,4.25
299,6341488,Test,F,65.0,0.4,0.33,1.38,0.6,2.72
304,838619,Test,F,60.5,1.15,1.42,1.63,0.73,2.28
335,1329260,Control,F,63.5,0.37,0.23,3.8,1.4,5.8
355,7906602,Test,F,54.5,0.07,0.27,1.22,0.98,2.53
360,2671231,Control,U,23.0,0.15,0.25,0.97,0.4,1.77
365,9587439,Control,U,26.5,0.55,0.33,2.27,1.1,4.25
370,5542798,Test,M,56.5,0.08,0.23,1.62,0.47,2.4
375,5977906,Control,F,76.5,0.38,0.52,0.47,1.93,3.3
380,7928244,Test,F,33.0,0.12,0.27,1.13,0.43,1.95
385,4906392,Control,F,27.5,0.88,0.97,5.88,1.05,8.78
392,3939684,Control,F,60.5,0.28,0.65,0.63,4.02,5.58
398,3731320,Test,U,39.5,0.1,0.55,1.13,6.02,7.8
425,8387066,Test,M,66.0,0.22,0.82,0.58,2.38,4.0
440,5908339,Control,F,40.0,0.27,0.23,2.07,0.6,3.17
457,3284361,Test,F,31.5,0.15,0.25,0.52,0.63,1.55
463,9150149,Control,U,43.5,0.08,0.12,2.68,1.1,3.98
469,7176877,Control,U,35.0,0.2,0.28,2.68,0.68,3.85
474,410752,Test,M,19.0,0.12,0.32,0.68,0.7,1.82
479,3979917,Control,M,63.0,0.1,0.32,0.67,0.63,1.72
498,4264493,Control,U,22.5,0.12,0.12,0.92,1.15,2.3
523,9250552,Control,U,33.5,0.35,0.9,0.75,1.2,3.2
536,2264903,Test,M,61.0,0.22,0.23,0.78,0.4,1.47
545,7321667,Test,U,39.5,0.93,0.57,0.72,0.42,1.87
563,1460648,Test,F,40.5,0.13,0.28,0.8,2.8,4.02
590,5531076,Control,M,44.5,0.07,0.78,0.8,0.37,2.02
596,3162487,Test,U,40.0,1.98,0.3,1.7,0.65,2.5
610,2570380,Control,U,52.5,0.17,0.33,2.08,0.77,3.35
617,5449775,Control,U,28.5,0.3,0.43,4.13,1.17,5.63
625,8415669,Control,M,59.5,1.32,0.47,1.7,2.82,6.3
635,6737425,Test,M,59.5,0.38,0.35,0.6,0.57,1.65
666,1643775,Control,U,18.0,0.08,0.4,0.75,0.33,1.57
678,2408879,Test,U,49.0,0.18,0.85,2.43,0.85,3.57
698,8763719,Control,M,40.0,0.87,2.35,1.3,0.35,1.97
710,200698,Test,M,31.5,0.28,0.1,1.12,1.03,2.53
715,7449147,Control,F,26.5,0.17,0.08,1.3,1.27,2.82
720,2096514,Control,F,59.5,0.37,0.5,2.58,6.05,9.5
726,5474775,Test,F,40.5,0.3,0.13,2.22,0.68,3.33
736,2069824,Control,F,50.5,0.53,0.12,2.3,0.9,3.67
746,7045562,Control,U,33.5,0.33,0.82,2.58,0.45,4.18
754,5376149,Control,M,56.5,0.58,0.42,1.12,1.58,3.7
759,148954,Control,F,59.5,0.28,0.53,0.73,1.38,2.93
764,7803610,Test,U,29.0,0.32,0.08,0.32,0.53,0.98
771,7772844,Test,U,37.5,0.38,0.12,0.4,0.53,1.22
778,4681026,Control,U,57.0,0.2,0.45,0.78,1.12,2.55
783,9242446,Control,M,70.0,0.25,0.5,0.78,1.25,2.78
788,1905822,Control,F,28.5,0.47,0.52,3.7,1.1,5.78
797,6980695,Control,U,74.5,0.32,0.92,0.35,1.2,2.78
818,2693746,Control,M,51.5,0.25,0.67,1.63,0.98,3.53
825,9073948,Control,U,58.5,0.27,0.78,0.63,1.32,2.87
834,9897542,Control,U,23.0,1.37,1.67,1.03,0.57,4.63
850,1592329,Control,U,27.5,0.15,0.15,1.2,1.12,2.62
858,7885704,Test,F,65.5,0.15,0.97,0.7,1.18,3.0
877,2365190,Test,U,29.5,0.17,0.57,2.82,4.57,8.12
885,730546,Test,F,51.5,0.28,0.67,0.77,0.75,2.47
890,1860982,Test,U,51.5,0.18,0.23,0.48,1.42,2.2
897,1945276,Test,M,50.5,0.27,0.23,1.07,0.92,2.33
909,7139038,Test,U,39.0,0.1,0.28,1.02,0.38,1.78
914,3678422,Control,M,33.0,0.1,0.1,4.58,0.53,5.32
920,121354,Test,U,30.5,0.17,0.18,1.43,0.3,2.08
925,7597197,Test,F,33.0,0.17,0.15,1.75,0.62,2.55
946,4561742,Control,M,44.5,0.43,1.02,1.73,0.58,2.82
955,8011247,Control,M,59.5,0.9,0.2,4.57,3.32,8.9
970,5416822,Test,M,39.0,0.18,1.02,2.3,0.65,4.15
982,9625688,Control,M,35.5,0.1,1.18,2.17,0.58,4.03
989,6055529,Test,U,27.5,0.15,0.07,1.45,0.32,1.88
998,6679780,Test,F,71.5,0.4,0.62,1.1,1.73,3.85
1005,2668008,Control,U,34.0,0.17,0.32,1.32,0.53,2.33
1010,9247669,Test,U,38.5,0.95,1.03,0.37,0.63,1.72
1046,3930919,Test,M,35.0,0.05,0.07,0.98,4.07,5.17
1052,2615801,Test,U,27.0,0.13,0.35,1.43,1.0,2.92
1082,7695537,Control,U,54.5,0.57,0.77,2.12,1.22,4.67
1106,3431014,Test,M,43.0,0.07,0.47,1.35,0.65,2.53
1112,8972482,Control,M,62.0,0.12,0.25,7.18,0.5,8.05
1134,9341975,Test,U,26.5,0.18,0.33,0.73,1.12,2.37
1140,9070908,Control,U,54.5,1.05,0.73,1.57,2.08,5.43
1145,3070720,Control,U,29.5,0.1,0.23,0.78,1.0,2.12
1153,312094,Control,U,21.5,0.12,0.1,4.02,4.23,8.47
1158,9435892,Test,M,47.0,0.4,0.77,2.85,0.6,4.62
1163,3270955,Control,U,74.5,0.67,0.18,0.43,3.38,4.2
1171,6840204,Test,U,58.0,0.23,0.25,0.57,0.65,1.52
1179,8971654,Control,F,61.5,0.23,0.18,2.4,1.25,4.07
1184,7288041,Control,F,32.5,0.87,0.2,0.68,1.1,2.85
1189,3143881,Control,F,51.0,0.13,0.58,1.63,1.45,3.8
1212,4447192,Control,M,59.0,0.17,0.5,0.78,1.4,2.85
1224,976546,Control,M,38.5,0.22,0.13,2.75,2.23,5.2
1272,5687972,Test,M,34.5,0.05,0.27,1.5,0.53,2.35
1277,8676893,Test,F,60.5,0.13,0.8,0.7,1.38,3.02
1283,4399072,Test,F,57.5,0.07,1.02,0.72,3.42,5.22
1289,7705023,Control,F,44.0,0.12,0.9,1.62,0.55,3.18
1295,4260236,Control,F,60.0,0.23,2.62,3.13,6.88,12.87
1302,8368220,Test,U,28.5,0.18,1.03,1.13,0.8,3.15
1314,6770720,Control,M,62.5,0.55,0.38,1.73,3.65,6.23
1322,5572217,Test,F,47.5,0.13,0.48,0.75,0.48,1.85
1327,3604010,Test,U,52.5,0.83,0.32,1.55,2.52,5.0
1334,8506583,Test,F,27.5,0.08,0.17,1.03,0.37,1.65
1339,4853148,Test,F,61.5,0.15,0.42,0.42,0.8,1.78
1366,1435050,Control,F,52.5,1.02,3.9,1.42,0.52,2.6
1389,5205837,Control,M,56.5,0.78,0.3,3.45,1.73,6.27
1410,493194,Control,U,57.5,0.37,0.15,0.3,1.02,1.83
1421,5474772,Test,F,66.5,0.38,0.6,0.55,1.82,3.35
1461,692622,Control,U,25.0,1.17,1.05,1.97,0.63,2.77
1470,8253877,Test,M,36.5,0.18,0.23,1.17,1.57,3.05
1492,461846,Control,F,78.5,1.38,0.38,0.78,1.73,2.25
1511,416346,Test,F,59.5,0.18,3.32,1.13,0.52,5.15
1526,171583,Test,F,44.0,0.95,0.75,1.22,1.38,4.3
1534,7412471,Control,F,27.0,0.42,0.65,4.55,0.47,1.58
1551,86877,Test,U,28.0,0.12,0.25,0.88,0.72,1.9
1567,6488984,Test,M,40.0,0.28,0.3,3.95,0.33,4.55
1577,1413769,Test,F,55.5,0.35,1.22,0.0,2.85,4.42
1586,7056174,Test,F,60.5,0.23,0.18,1.05,0.78,2.07
1608,6201791,Test,M,66.5,0.13,0.47,0.42,0.9,1.92
1617,7018468,Control,M,27.5,0.18,0.13,1.52,1.5,3.33
1622,1949872,Test,M,37.5,0.15,0.1,1.25,1.28,2.78
1628,1056722,Control,M,51.5,0.3,0.53,0.48,0.73,2.05
1676,6815257,Control,M,72.5,0.52,0.73,2.12,1.38,4.75
1681,9767681,Control,U,47.0,0.18,0.12,2.7,1.53,4.53
1691,4474907,Test,U,32.5,0.1,0.23,1.83,0.35,2.52
1704,6958124,Control,M,59.0,0.2,0.4,1.15,0.6,2.35
1711,979208,Test,U,20.5,1.67,0.17,1.07,1.48,4.38
1716,681824,Test,F,33.5,0.1,0.12,0.78,0.43,1.38
1723,9006366,Test,M,25.5,0.73,0.25,0.72,0.23,1.93
1728,8274863,Control,U,27.0,0.18,0.28,0.9,0.32,1.68
1733,4055202,Control,M,29.5,0.12,0.57,0.93,7.67,9.28
1738,9358802,Test,F,33.0,0.12,0.22,1.83,0.63,2.8
1743,5749370,Control,U,22.5,0.1,0.43,0.97,0.5,2.0
1796,9308901,Test,F,42.5,0.12,0.17,1.4,0.8,2.48
1801,72395,Test,M,48.0,0.2,0.12,1.65,0.87,2.7
1808,2346575,Test,M,75.0,0.97,1.42,1.83,5.98,7.55
1848,7434562,Test,F,74.0,0.13,0.53,0.42,0.47,1.55
1879,3959099,Test,M,32.5,1.9,0.75,1.2,0.37,4.22
1884,4362459,Test,F,65.5,1.13,1.45,1.15,5.98,9.72
1893,3083365,Test,U,72.5,0.18,2.05,2.03,1.62,4.8
1906,4333518,Control,M,32.0,0.23,0.8,1.7,0.3,3.03
1918,6550550,Control,F,58.0,0.18,0.3,5.72,0.6,6.8
1924,5931603,Control,U,31.5,0.97,0.12,0.62,0.87,2.57
1930,2938423,Control,U,36.5,0.17,1.03,2.53,0.5,4.23
1937,2215051,Control,F,66.0,0.3,1.05,0.97,1.3,3.62
1942,2952627,Test,M,46.0,0.6,0.48,1.02,0.5,2.6
1948,2790667,Test,U,22.5,0.07,0.68,3.23,0.88,4.87
1953,9027736,Control,F,79.0,0.28,0.32,0.55,1.28,2.43
1958,7240133,Test,M,65.5,0.45,0.2,0.88,4.82,6.35
1965,6196555,Test,U,69.5,0.53,0.15,0.35,2.02,3.05
1970,6012640,Control,F,59.5,1.03,0.27,1.3,5.57,8.17
1976,5966661,Test,U,29.5,0.23,0.6,1.47,0.52,2.67
1984,1820934,Control,U,40.5,0.38,0.52,2.8,1.9,5.6
2010,560810,Test,F,34.5,1.47,0.25,0.9,0.73,3.35
2015,704762,Test,U,27.5,0.1,0.73,0.72,0.3,1.85
2044,8984143,Control,M,40.5,0.43,1.4,4.35,2.95,9.13
2059,7680980,Test,M,23.5,0.07,0.73,2.32,0.42,3.53
2064,4928575,Test,F,60.5,0.2,0.48,0.87,1.57,2.43
2077,2406021,Control,M,49.0,0.13,0.42,2.03,3.8,6.3
2093,881563,Test,M,49.5,0.32,0.73,0.65,0.7,2.4
2098,2653016,Control,F,53.0,0.52,0.15,0.45,0.72,1.55
2105,548340,Control,U,46.5,0.32,0.12,0.3,0.85,1.58
2110,2609914,Test,F,45.5,0.05,1.17,1.7,6.27,9.18
2133,4278502,Test,F,23.5,1.78,1.2,2.18,2.03,6.52
2148,1040359,Control,U,47.5,0.43,0.32,2.22,2.22,5.18
2153,1334827,Control,F,38.5,0.07,1.32,2.45,1.75,5.58
2158,8945610,Test,F,71.5,0.8,1.27,0.53,4.58,7.18
2168,2600705,Control,F,61.5,0.15,0.17,0.47,2.42,3.2
2173,3442959,Control,F,34.5,0.7,0.78,1.48,2.03,5.0
2178,9207047,Test,F,49.5,0.17,0.12,1.48,0.3,1.98
2235,9373092,Control,F,39.5,0.2,0.1,2.45,1.45,4.2
2240,7561241,Test,U,55.5,0.68,0.73,1.63,1.33,4.38
2278,8257047,Test,M,24.5,0.32,0.58,1.48,0.55,2.85
2285,1753961,Test,U,49.5,0.1,0.7,1.78,0.67,3.25
2290,9432051,Test,U,39.0,0.17,0.5,2.12,0.32,1.18
2304,9591707,Control,M,49.0,0.62,0.52,1.6,0.83,1.72
2343,7569257,Test,F,54.5,0.12,0.33,1.58,3.82,5.85
2363,6286537,Test,U,27.0,1.63,0.52,1.13,3.72,7.0
2368,2529465,Test,M,35.5,0.3,1.53,0.75,0.33,2.92
2377,3132961,Control,F,58.5,1.4,1.78,2.68,1.75,7.62
2382,6248651,Control,M,45.5,0.85,1.5,1.65,0.82,4.33
2391,7187827,Test,F,45.5,0.47,1.47,3.77,1.15,5.12
2400,9516559,Control,M,29.5,0.12,0.1,0.82,0.42,1.45
2428,9795687,Control,M,69.5,1.38,2.03,1.17,4.68,9.27
2437,3573589,Control,M,46.5,0.95,2.08,3.25,4.0,10.28
2453,3191374,Test,F,37.5,0.23,0.2,1.02,0.53,1.98
2458,3334174,Test,M,31.5,0.78,0.28,0.97,0.38,2.42
2464,3778920,Test,F,61.5,0.22,0.92,2.4,2.32,5.85
2491,7656967,Control,F,60.0,0.27,0.22,0.38,0.5,1.37
2500,6559072,Control,F,54.0,1.15,2.35,3.7,0.98,6.82
2513,2960870,Control,F,66.5,0.58,1.45,1.0,2.2,5.23
2577,3337300,Test,F,57.0,0.38,1.27,1.45,0.83,3.93
2584,6666419,Test,M,44.5,0.47,0.45,1.65,1.43,3.67
2598,8306917,Control,F,60.0,0.87,0.9,0.97,2.43,5.17
2612,8730685,Control,M,71.5,0.6,0.67,0.53,1.58,3.38
2617,5894819,Control,U,67.5,0.58,1.52,0.82,1.75,4.67
2622,3539231,Control,U,26.5,1.02,0.1,0.47,2.42,3.85
2629,9484909,Control,U,20.5,0.07,0.0,2.43,1.22,3.72
2651,1597883,Test,U,25.0,0.2,0.12,1.33,0.78,2.27
2658,675111,Test,U,29.0,0.08,0.28,1.12,0.4,1.88
2664,3194104,Test,U,27.5,0.12,0.32,1.17,0.8,2.4
2669,7151522,Test,F,67.5,0.15,0.8,0.95,6.7,8.6
2674,3319635,Test,U,52.0,1.13,0.73,1.37,0.62,2.58
2683,3197890,Test,U,50.5,0.43,0.13,1.47,1.9,3.93
2705,6334676,Control,U,35.5,1.3,0.4,2.03,3.93,7.67
2743,5517122,Test,M,57.5,0.35,0.28,0.65,0.93,2.1
2752,1241733,Test,F,31.5,0.18,0.33,1.68,0.55,2.75
2757,4458772,Test,U,62.5,0.17,1.68,0.6,5.03,7.48
2762,242235,Test,M,44.0,0.1,0.23,0.92,0.43,1.68
2767,8544599,Control,F,56.0,0.07,2.05,1.53,0.55,4.2
2792,5954855,Control,M,35.5,0.82,0.0,5.85,1.73,8.23
2808,509544,Control,F,52.5,0.18,0.37,1.5,1.18,3.23
2813,8969191,Test,M,49.5,0.28,0.28,0.47,1.97,3.0
2833,9092174,Test,M,28.0,0.55,1.15,0.38,0.3,2.38
2848,730801,Test,M,51.5,0.23,0.43,3.78,0.98,5.43
2853,5552968,Test,U,46.5,0.07,0.17,0.67,0.42,1.32
2879,3290004,Test,F,30.5,0.17,0.25,3.58,0.52,4.52
2904,9517536,Control,U,27.5,0.63,0.53,2.88,0.78,4.68
2914,5293569,Test,U,46.0,0.07,0.32,1.12,1.05,2.55
2922,9754728,Control,U,40.0,0.67,0.33,0.58,0.83,2.42
2929,3777909,Control,U,54.5,0.5,0.23,2.5,2.75,5.98
2949,2449759,Test,F,61.5,0.98,0.18,0.4,1.33,2.68
2965,3874169,Test,F,37.5,0.67,0.87,4.17,3.02,5.05
2981,3806151,Control,M,43.0,0.13,0.27,2.75,2.63,5.78
2989,7414306,Control,U,66.5,1.85,0.6,4.03,2.8,9.28
2996,9295772,Test,M,51.5,0.25,0.75,2.57,3.37,6.93
3005,3887490,Control,U,39.5,0.92,0.2,2.57,2.92,6.6
3010,9138140,Test,U,32.0,0.23,0.1,0.93,0.27,1.53
3059,3022895,Test,M,76.5,0.35,1.5,0.7,4.75,7.3
3064,6768127,Test,U,31.5,0.15,1.0,0.72,0.33,2.2
3069,7244004,Test,F,52.5,0.2,0.8,1.0,1.62,3.62
3075,2658149,Test,M,57.5,0.12,0.6,0.37,0.78,1.87
3080,6373368,Control,M,55.5,0.65,1.6,1.17,2.92,6.33
3097,8088920,Test,F,62.5,0.2,1.5,1.15,1.47,4.32
3143,5690823,Test,F,45.5,0.13,0.38,0.85,0.93,2.3
3151,4494336,Control,F,66.0,0.37,0.37,0.95,0.52,2.2
3156,7198363,Test,F,54.5,0.12,0.23,0.82,0.27,1.38
3168,2948165,Test,U,61.5,0.48,1.78,1.45,0.53,2.88
3177,9714140,Test,U,65.5,0.33,0.67,0.67,8.6,10.27
3196,3367073,Test,F,32.5,0.08,0.4,0.93,0.65,2.07
3209,1829130,Control,F,53.0,0.2,0.22,1.23,0.8,2.45
3226,4952288,Test,U,42.5,0.77,0.4,2.73,0.62,3.92
3235,7953367,Test,U,66.5,0.28,0.27,2.23,0.75,3.53
3240,5870441,Control,F,25.5,0.28,0.15,2.88,0.73,3.98
3247,3233554,Test,M,66.5,0.38,0.47,2.25,0.73,3.7
3255,6930182,Test,U,59.5,0.18,0.32,0.77,0.95,2.12
3268,4738519,Test,M,48.5,0.23,0.5,1.37,1.38,3.33
3291,5579672,Test,F,53.5,0.18,1.37,0.45,0.85,2.85
3296,1290934,Control,M,55.5,0.32,0.08,1.87,1.15,3.42
3301,7024366,Test,U,57.5,0.15,0.58,1.43,1.92,4.08
3337,2186143,Test,F,55.5,1.67,0.4,1.12,1.32,3.8
3348,6567268,Test,M,35.5,0.07,0.13,1.83,0.37,2.4
