,Client ID,Variation,gendr,clnt_age,start_to_step_1_mins,step_1_to_2_mins,step_2_to_3_mins,step_3_to_con_mins,total_time_mins
0,836976,Test,U,60.5,0.16666666666666666,0.7666666666666667,0.7333333333333333,28.083333333333332,29.75
11,2304905,Control,U,58.0,0.1,0.55,0.8166666666666667,2.3833333333333333,3.85
17,1439522,Test,U,32.0,0.16666666666666666,0.08333333333333333,1.7,0.0,0.0
24,3727881,Control,U,30.5,0.5,0.5333333333333333,4.416666666666667,1.05,6.5
31,272934,Control,U,58.5,0.2,0.9666666666666667,0.65,2.1166666666666667,3.933333333333333
36,388801,Test,M,57.5,0.8333333333333334,2.55,3.216666666666667,3.216666666666667,9.816666666666666
41,285619,Control,M,67.5,0.5666666666666667,1.2166666666666666,0.9833333333333333,1.9,4.666666666666667
50,8198645,Test,F,54.5,1.95,0.6166666666666667,6.45,0.6833333333333333,9.7
55,8368822,Control,U,34.5,0.2833333333333333,0.11666666666666667,0.4166666666666667,1.1666666666666667,1.9833333333333334
60,2537139,Control,U,51.5,0.18333333333333332,0.43333333333333335,1.0166666666666666,1.5666666666666667,3.2
65,2208717,Test,U,33.0,1.6,0.6,3.6666666666666665,0.5666666666666667,6.283333333333333
72,2214073,Test,M,62.5,0.18333333333333332,2.4,1.1333333333333333,36.25,39.96666666666667
78,2368987,Control,U,54.5,0.6333333333333333,0.16666666666666666,42.36666666666667,0.3,43.46666666666667
86,2892152,Test,U,36.0,2.65,1.0666666666666667,1.5333333333333334,2.1166666666666667,6.983333333333333
96,4536541,Test,U,74.0,5.016666666666667,1.8333333333333333,2.75,0.0,0.0
103,3788589,Control,M,32.5,0.16666666666666666,0.4,2.9166666666666665,7.466666666666667,10.95
108,719792,Test,F,31.0,0.11666666666666667,0.6166666666666667,0.5166666666666667,3.0833333333333335,4.333333333333333
114,5904035,Test,U,25.5,0.21666666666666667,0.26666666666666666,2.45,0.9333333333333333,3.8666666666666667
